"","Date","Time","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"1","2006-12-16","17:24:00",0,1,17
"2","2006-12-16","17:25:00",0,1,16
"3","2006-12-16","17:26:00",0,2,17
"4","2006-12-16","17:27:00",0,1,17
"5","2006-12-16","17:28:00",0,1,17
"6","2006-12-16","17:29:00",0,2,17
"7","2006-12-16","17:30:00",0,1,17
"8","2006-12-16","17:31:00",0,1,17
"9","2006-12-16","17:32:00",0,1,17
"10","2006-12-16","17:33:00",0,2,16
"11","2006-12-16","17:34:00",0,1,17
"12","2006-12-16","17:35:00",0,1,17
"13","2006-12-16","17:36:00",0,1,16
"14","2006-12-16","17:37:00",0,2,17
"15","2006-12-16","17:38:00",0,1,17
"16","2006-12-16","17:39:00",0,0,17
"17","2006-12-16","17:40:00",0,0,17
"18","2006-12-16","17:41:00",0,0,17
"19","2006-12-16","17:42:00",0,0,18
"20","2006-12-16","17:43:00",0,0,17
"21","2006-12-16","17:44:00",0,0,16
"22","2006-12-16","17:45:00",0,0,17
"23","2006-12-16","17:46:00",0,0,16
"24","2006-12-16","17:47:00",0,0,17
"25","2006-12-16","17:48:00",0,0,17
"26","2006-12-16","17:49:00",0,0,17
"27","2006-12-16","17:50:00",0,0,17
"28","2006-12-16","17:51:00",0,0,17
"29","2006-12-16","17:52:00",0,0,17
"30","2006-12-16","17:53:00",0,0,17
"31","2006-12-16","17:54:00",0,0,17
"32","2006-12-16","17:55:00",0,0,17
"33","2006-12-16","17:56:00",0,0,16
"34","2006-12-16","17:57:00",0,0,17
"35","2006-12-16","17:58:00",0,0,17
"36","2006-12-16","17:59:00",0,0,17
"37","2006-12-16","18:00:00",0,0,18
"38","2006-12-16","18:01:00",0,0,17
"39","2006-12-16","18:02:00",0,0,17
"40","2006-12-16","18:03:00",0,16,18
"41","2006-12-16","18:04:00",0,37,16
"42","2006-12-16","18:05:00",0,37,17
"43","2006-12-16","18:06:00",0,36,17
"44","2006-12-16","18:07:00",0,37,16
"45","2006-12-16","18:08:00",0,36,17
"46","2006-12-16","18:09:00",0,37,16
"47","2006-12-16","18:10:00",0,22,18
"48","2006-12-16","18:11:00",0,12,17
"49","2006-12-16","18:12:00",0,27,17
"50","2006-12-16","18:13:00",0,1,17
"51","2006-12-16","18:14:00",0,1,17
"52","2006-12-16","18:15:00",0,20,17
"53","2006-12-16","18:16:00",0,9,17
"54","2006-12-16","18:17:00",0,1,17
"55","2006-12-16","18:18:00",0,1,16
"56","2006-12-16","18:19:00",0,1,17
"57","2006-12-16","18:20:00",0,1,17
"58","2006-12-16","18:21:00",0,2,17
"59","2006-12-16","18:22:00",0,1,17
"60","2006-12-16","18:23:00",0,1,17
"61","2006-12-16","18:24:00",0,1,17
